Source,Target,Type,Id,Label,timeset,Weight
49,36,Directed,715,,,5
108,36,Directed,716,,,4
34,36,Directed,717,,,3
22,36,Directed,718,,,7
44,36,Directed,719,,,3
80,36,Directed,720,,,2
54,36,Directed,721,,,2
4,36,Directed,722,,,1
69,37,Directed,723,,,1
3,37,Directed,724,,,1
70,37,Directed,725,,,1
20,37,Directed,726,,,2
73,37,Directed,727,,,1
33,37,Directed,728,,,2
101,38,Directed,729,,,3
52,38,Directed,730,,,2
102,38,Directed,731,,,3
2,38,Directed,732,,,5
41,38,Directed,733,,,2
40,38,Directed,734,,,3
69,38,Directed,735,,,2
14,38,Directed,736,,,5
54,38,Directed,737,,,5
12,38,Directed,738,,,3
3,38,Directed,739,,,3
28,38,Directed,740,,,8
89,38,Directed,741,,,5
35,38,Directed,742,,,7
88,38,Directed,743,,,1
15,38,Directed,744,,,4
1,38,Directed,745,,,1
60,38,Directed,746,,,5
108,38,Directed,747,,,5
109,38,Directed,748,,,2
82,38,Directed,749,,,9
70,38,Directed,750,,,3
21,38,Directed,751,,,2
44,38,Directed,752,,,5
55,38,Directed,753,,,4
49,38,Directed,754,,,6
31,38,Directed,755,,,3
33,38,Directed,756,,,1
67,38,Directed,757,,,6
72,38,Directed,758,,,1
34,38,Directed,759,,,2
22,38,Directed,760,,,9
53,38,Directed,761,,,6
104,38,Directed,762,,,7
95,38,Directed,763,,,2
43,38,Directed,764,,,2
65,38,Directed,765,,,2
27,38,Directed,766,,,3
5,38,Directed,767,,,3
4,38,Directed,768,,,6
29,38,Directed,769,,,1
20,38,Directed,770,,,15
103,38,Directed,771,,,1
45,38,Directed,772,,,2
21,39,Directed,773,,,1
71,39,Directed,774,,,3
103,39,Directed,775,,,1
35,39,Directed,776,,,2
26,39,Directed,777,,,1
92,39,Directed,778,,,2
20,39,Directed,779,,,2
49,39,Directed,780,,,3
22,39,Directed,781,,,2
48,39,Directed,782,,,2
51,39,Directed,783,,,1
62,39,Directed,784,,,2
96,39,Directed,785,,,1
79,39,Directed,786,,,1
4,39,Directed,787,,,1
78,39,Directed,788,,,1
42,39,Directed,789,,,1
55,39,Directed,790,,,1
74,39,Directed,791,,,1
6,39,Directed,792,,,1
58,39,Directed,793,,,1
76,39,Directed,794,,,2
89,39,Directed,795,,,1
69,39,Directed,796,,,2
81,39,Directed,797,,,1
109,39,Directed,798,,,1
108,39,Directed,799,,,1
52,39,Directed,800,,,1
38,39,Directed,801,,,2
31,39,Directed,802,,,1
86,39,Directed,803,,,1
46,39,Directed,804,,,1
36,39,Directed,805,,,1
61,39,Directed,806,,,1
101,39,Directed,807,,,1
59,39,Directed,808,,,2
34,40,Directed,809,,,4
15,40,Directed,810,,,3
35,40,Directed,811,,,1
28,40,Directed,812,,,1
53,40,Directed,813,,,1
82,40,Directed,814,,,1
108,40,Directed,815,,,1
20,40,Directed,816,,,3
54,41,Directed,817,,,2
5,41,Directed,818,,,1
2,42,Directed,819,,,1
1,42,Directed,820,,,1
14,42,Directed,821,,,1
34,42,Directed,822,,,1
44,42,Directed,823,,,1
80,42,Directed,824,,,1
12,42,Directed,825,,,1
104,42,Directed,826,,,1
82,42,Directed,827,,,1
70,42,Directed,828,,,1
20,42,Directed,829,,,1
103,42,Directed,830,,,1
4,42,Directed,831,,,1
2,43,Directed,832,,,1
35,43,Directed,833,,,2
41,43,Directed,834,,,1
44,43,Directed,835,,,1
15,43,Directed,836,,,1
80,43,Directed,837,,,1
104,43,Directed,838,,,1
70,43,Directed,839,,,1
108,43,Directed,840,,,1
54,43,Directed,841,,,1
20,43,Directed,842,,,2
3,43,Directed,843,,,1
90,43,Directed,844,,,1
52,43,Directed,845,,,1
40,43,Directed,846,,,1
42,43,Directed,847,,,1
1,43,Directed,848,,,1
101,43,Directed,849,,,1
89,43,Directed,850,,,1
28,43,Directed,851,,,1
103,43,Directed,852,,,2
82,43,Directed,853,,,1
102,43,Directed,854,,,1
88,43,Directed,855,,,1
31,43,Directed,856,,,1
53,43,Directed,857,,,1
34,43,Directed,858,,,1
45,43,Directed,859,,,1
14,43,Directed,860,,,1
20,44,Directed,861,,,1
15,44,Directed,862,,,1
34,44,Directed,863,,,1
104,44,Directed,864,,,1
2,44,Directed,865,,,1
82,44,Directed,866,,,1
4,44,Directed,867,,,1
70,44,Directed,868,,,1
53,44,Directed,869,,,1
40,44,Directed,870,,,1
5,45,Directed,871,,,2
88,45,Directed,872,,,3
41,45,Directed,873,,,2
31,45,Directed,874,,,2
102,45,Directed,875,,,2
23,45,Directed,876,,,1
54,45,Directed,877,,,1
65,45,Directed,878,,,2
76,46,Directed,879,,,1
82,46,Directed,880,,,1
73,46,Directed,881,,,1
22,46,Directed,882,,,1
108,46,Directed,883,,,1
53,46,Directed,884,,,1
69,46,Directed,885,,,1
20,46,Directed,886,,,1
37,47,Directed,887,,,1
76,48,Directed,888,,,1
89,48,Directed,889,,,2
72,48,Directed,890,,,2
88,48,Directed,891,,,1
46,48,Directed,892,,,1
82,48,Directed,893,,,1
16,48,Directed,894,,,1
102,48,Directed,895,,,1
22,48,Directed,896,,,2
38,48,Directed,897,,,4
58,48,Directed,898,,,1
59,48,Directed,899,,,1
54,48,Directed,900,,,2
101,48,Directed,901,,,3
28,48,Directed,902,,,1
2,48,Directed,903,,,1
95,48,Directed,904,,,2
49,48,Directed,905,,,1
73,48,Directed,906,,,1
109,48,Directed,907,,,2
1,48,Directed,908,,,1
20,48,Directed,909,,,1
37,48,Directed,910,,,1
53,48,Directed,911,,,1
41,48,Directed,912,,,2
65,48,Directed,913,,,1
101,49,Directed,914,,,3
60,49,Directed,915,,,3
41,49,Directed,916,,,1
53,49,Directed,917,,,29
22,49,Directed,918,,,1
52,49,Directed,919,,,1
4,49,Directed,920,,,3
14,49,Directed,921,,,1
12,49,Directed,922,,,1
109,49,Directed,923,,,2
2,49,Directed,924,,,3
88,49,Directed,925,,,2
108,49,Directed,926,,,24
33,49,Directed,927,,,1
28,49,Directed,928,,,12
15,49,Directed,929,,,3
45,49,Directed,930,,,1
29,49,Directed,931,,,1
5,49,Directed,932,,,2
55,49,Directed,933,,,4
31,49,Directed,934,,,1
35,49,Directed,935,,,18
65,49,Directed,936,,,1
70,49,Directed,937,,,3
104,49,Directed,938,,,3
44,49,Directed,939,,,2
69,49,Directed,940,,,3
82,49,Directed,941,,,28
34,49,Directed,942,,,3
3,49,Directed,943,,,1
54,49,Directed,944,,,4
40,49,Directed,945,,,3
23,49,Directed,946,,,3
20,49,Directed,947,,,10
80,50,Directed,948,,,1
20,50,Directed,949,,,2
92,50,Directed,950,,,1
14,50,Directed,951,,,2
86,50,Directed,952,,,2
1,50,Directed,953,,,1
69,50,Directed,954,,,1
34,50,Directed,955,,,1
73,50,Directed,956,,,1
55,50,Directed,957,,,1
59,50,Directed,958,,,2
33,50,Directed,959,,,1
4,50,Directed,960,,,2
104,50,Directed,961,,,2
2,50,Directed,962,,,2
35,50,Directed,963,,,1
108,51,Directed,964,,,2
59,51,Directed,965,,,1
101,51,Directed,966,,,4
12,51,Directed,967,,,2
48,51,Directed,968,,,2
21,51,Directed,969,,,1
16,51,Directed,970,,,2
71,51,Directed,971,,,1
52,51,Directed,972,,,1
109,51,Directed,973,,,1
79,51,Directed,974,,,1
96,51,Directed,975,,,1
23,51,Directed,976,,,1
92,51,Directed,977,,,1
67,51,Directed,978,,,1
69,51,Directed,979,,,1
58,51,Directed,980,,,1
38,51,Directed,981,,,4
43,51,Directed,982,,,1
5,51,Directed,983,,,1
73,51,Directed,984,,,2
103,51,Directed,985,,,1
97,51,Directed,986,,,1
36,51,Directed,987,,,1
22,51,Directed,988,,,2
90,51,Directed,989,,,1
42,51,Directed,990,,,1
